plan_id,status,px_per_m,overall_width_m,overall_depth_m,internal_area_m2,room_code,room_name,room_width_m,room_depth_m,room_area_m2,is_rectangular,outdoor
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,9.79,7.4,39.6,False,False
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,5.66,3.93,22.19,True,False
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,3.83,3.21,10.53,False,False
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,2.41,2.11,5.1,True,False
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,2.0,1.71,3.41,True,False
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,2.0,1.37,2.73,True,False
4011,ok,100.084,17.23,8.55,83.88,UNDEFINED,UNDEFINED,0.6,0.53,0.32,True,False
4015,ok,100.066,15.16,9.73,79.93,UNDEFINED,UNDEFINED,1.38,1.47,2.03,True,False
4015,ok,100.066,15.16,9.73,79.93,MH,Bedroom,2.26,3.65,8.25,True,False
4015,ok,100.066,15.16,9.73,79.93,UNDEFINED,UNDEFINED,0.1,0.69,0.07,True,False
4015,ok,100.066,15.16,9.73,79.93,LASITETTU PARVEKE,LASITETTU PARVEKE,2.26,3.79,8.56,True,True
4015,ok,100.066,15.16,9.73,79.93,MH,Bedroom,2.91,3.65,10.62,True,False
4015,ok,100.066,15.16,9.73,79.93,UNDEFINED,UNDEFINED,0.1,0.69,0.07,True,False
4015,ok,100.066,15.16,9.73,79.93,OH,Living room,3.53,3.74,13.19,True,False
4015,ok,100.066,15.16,9.73,79.93,ET,Entrance hall,5.38,4.61,11.82,False,False
4015,ok,100.066,15.16,9.73,79.93,UNDEFINED,UNDEFINED,0.0,3.16,0.01,True,False
4015,ok,100.066,15.16,9.73,79.93,UNDEFINED,UNDEFINED,5.72,4.56,16.79,False,False
4015,ok,100.066,15.16,9.73,79.93,K,Kitchen,2.82,3.28,9.19,True,False
4015,ok,100.066,15.16,9.73,79.93,PH,PH,2.69,3.16,6.55,False,False
4015,ok,100.066,15.16,9.73,79.93,WC,Toilet,0.9,1.51,1.36,True,False
4017,ok,100.047,11.62,8.92,54.18,K,Kitchen,3.27,2.77,8.51,False,False
4017,ok,100.047,11.62,8.92,54.18,OH,Living room,3.78,4.9,18.52,True,False
4017,ok,100.047,11.62,8.92,54.18,ET,Entrance hall,4.66,3.76,11.91,False,False
4017,ok,100.047,11.62,8.92,54.18,MH,Bedroom,3.97,2.77,10.98,True,False
4017,ok,100.047,11.62,8.92,54.18,UNDEFINED,UNDEFINED,2.44,2.0,4.26,False,False
4017,ok,100.047,11.62,8.92,54.18,PARVEKE,Balcony,3.45,1.64,5.67,True,True
4021,ok,100.01,14.01,11.77,110.07,ULKOTILA,Outdoor,1.23,3.63,4.45,True,True
4021,ok,100.01,14.01,11.77,110.07,OH,Living room,8.37,3.8,31.85,True,False
4021,ok,100.01,14.01,11.77,110.07,K,Kitchen,3.31,3.53,11.68,True,False
4021,ok,100.01,14.01,11.77,110.07,ET,Entrance hall,5.93,3.53,14.51,False,False
4021,ok,100.01,14.01,11.77,110.07,VH,Walk-in closet,1.65,2.62,4.31,True,False
4021,ok,100.01,14.01,11.77,110.07,MH,Bedroom,3.99,3.63,14.48,True,False
4021,ok,100.01,14.01,11.77,110.07,MH,Bedroom,3.98,3.55,14.13,True,False
4021,ok,100.01,14.01,11.77,110.07,UNDEFINED,UNDEFINED,3.54,3.68,13.03,True,False
4021,ok,100.01,14.01,11.77,110.07,UNDEFINED,UNDEFINED,1.84,2.46,4.51,True,False
4021,ok,100.01,14.01,11.77,110.07,WC,Toilet,1.38,1.13,1.56,True,False
4025,ok,99.953,6.95,7.82,32.11,ULKOTILA,Outdoor,3.72,1.51,5.62,True,True
4025,ok,99.953,6.95,7.82,32.11,ALKOVI,ALKOVI,2.13,1.47,3.13,True,False
4025,ok,99.953,6.95,7.82,32.11,ET,Entrance hall,2.65,1.47,3.87,True,False
4025,ok,99.953,6.95,7.82,32.11,OH,Living room,3.69,3.72,13.78,True,False
4025,ok,99.953,6.95,7.82,32.11,KK,KK,2.72,2.04,5.05,False,False
4025,ok,99.953,6.95,7.82,32.11,UNDEFINED,UNDEFINED,0.1,0.49,0.05,True,False
4025,ok,99.953,6.95,7.82,32.11,KPH,Bathroom,2.65,1.5,3.97,True,False
4025,ok,99.953,6.95,7.82,32.11,VH,Walk-in closet,1.56,1.45,2.26,True,False
4026,ok,100.058,7.83,9.42,51.87,ET,Entrance hall,2.95,2.1,6.19,True,False
4026,ok,100.058,7.83,9.42,51.87,OH,Living room,4.76,6.0,28.54,True,False
4026,ok,100.058,7.83,9.42,51.87,PSH,Shower room,1.91,2.62,5.0,True,False
4026,ok,100.058,7.83,9.42,51.87,KK,KK,2.03,2.01,4.08,True,False
4026,ok,100.058,7.83,9.42,51.87,UNDEFINED,UNDEFINED,3.84,2.1,8.07,False,False
4039,ok,100.097,12.79,11.11,38.83,ULKOTILA,Outdoor,1.22,2.74,3.34,True,True
4039,ok,100.097,12.79,11.11,38.83,OH,Living room,3.4,5.33,15.76,False,False
4039,ok,100.097,12.79,11.11,38.83,K,Kitchen,3.17,2.85,9.0,True,False
4039,ok,100.097,12.79,11.11,38.83,ALKOVI,ALKOVI,2.4,2.47,5.91,True,False
4039,ok,100.097,12.79,11.11,38.83,ET,Entrance hall,1.55,2.64,3.94,False,False
4039,ok,100.097,12.79,11.11,38.83,SH,SH,1.66,2.64,4.21,False,False
4542,ok,100.007,8.3,6.09,24.94,K,Kitchen,2.16,3.04,6.49,True,False
4542,ok,100.007,8.3,6.09,24.94,OH,Living room,3.2,3.04,9.73,True,False
4542,ok,100.007,8.3,6.09,24.94,ET,Entrance hall,2.16,1.63,3.26,False,False
4542,ok,100.007,8.3,6.09,24.94,PH,PH,1.79,3.04,5.45,True,False
4548,ok,99.87,21.7,12.8,124.28,KAUKO-,KAUKO-,2.14,0.54,1.16,True,False
4548,ok,99.87,21.7,12.8,124.28,LAMPÖ,LAMPÖ,2.14,1.01,2.16,True,False
4548,ok,99.87,21.7,12.8,124.28,TEKN/,TEKN/,2.14,0.45,0.96,True,False
4548,ok,99.87,21.7,12.8,124.28,ULKOTILA,Outdoor,2.7,4.36,10.85,False,True
4548,ok,99.87,21.7,12.8,124.28,ULKOTILA,Outdoor,8.03,1.42,11.24,True,True
4548,ok,99.87,21.7,12.8,124.28,OH,Living room,4.74,4.26,20.25,True,False
4548,ok,99.87,21.7,12.8,124.28,UNDEFINED,UNDEFINED,1.86,0.0,0.0,False,False
4548,ok,99.87,21.7,12.8,124.28,K,Kitchen,4.74,4.45,19.42,False,False
4548,ok,99.87,21.7,12.8,124.28,ET,Entrance hall,2.97,3.59,10.05,False,False
4548,ok,99.87,21.7,12.8,124.28,MH,Bedroom,3.06,4.66,13.54,False,False
4548,ok,99.87,21.7,12.8,124.28,MH,Bedroom,3.83,3.5,13.44,True,False
4548,ok,99.87,21.7,12.8,124.28,MH,Bedroom,3.06,3.85,10.76,False,False
4548,ok,99.87,21.7,12.8,124.28,KHH,KHH,3.83,2.31,7.71,False,False
4548,ok,99.87,21.7,12.8,124.28,MH,Bedroom,2.97,3.05,9.1,True,False
4548,ok,99.87,21.7,12.8,124.28,PH,PH,1.78,2.58,4.59,True,False
4548,ok,99.87,21.7,12.8,124.28,UNDEFINED,UNDEFINED,1.91,1.97,3.77,True,False
4548,ok,99.87,21.7,12.8,124.28,VH,Walk-in closet,2.14,1.57,3.36,True,False
4548,ok,99.87,21.7,12.8,124.28,WC,Toilet,1.26,1.91,2.21,False,False
4548,ok,99.87,21.7,12.8,124.28,TK,Utility,1.56,1.16,1.8,True,False
4550,ok,100.042,22.8,7.21,86.31,RT,RT,3.34,1.96,6.53,True,False
4550,ok,100.042,22.8,7.21,86.31,OH,Living room,3.34,2.93,9.76,True,False
4550,ok,100.042,22.8,7.21,86.31,K,Kitchen,3.63,3.33,12.1,True,False
4550,ok,100.042,22.8,7.21,86.31,ET,Entrance hall,2.22,4.89,10.56,False,False
4550,ok,100.042,22.8,7.21,86.31,UNDEFINED,UNDEFINED,2.7,1.43,3.86,True,False
4550,ok,100.042,22.8,7.21,86.31,UNDEFINED,UNDEFINED,0.69,1.43,0.98,True,False
4550,ok,100.042,22.8,7.21,86.31,MH,Bedroom,3.45,2.66,9.18,True,False
4550,ok,100.042,22.8,7.21,86.31,UNDEFINED,UNDEFINED,5.57,3.24,15.76,False,False
4550,ok,100.042,22.8,7.21,86.31,VH,Walk-in closet,3.87,2.09,8.1,True,False
4550,ok,100.042,22.8,7.21,86.31,PH,PH,3.76,2.09,6.85,False,False
4550,ok,100.042,22.8,7.21,86.31,UNDEFINED,UNDEFINED,1.25,2.09,2.61,True,False
4586,estimated,100.0,8.29,9.6,38.83,ET,Entrance hall,3.59,1.45,3.76,False,False
4586,estimated,100.0,8.29,9.6,38.83,TUPAK,TUPAK,3.59,4.17,14.97,True,False
4586,estimated,100.0,8.29,9.6,38.83,PARVEKE,Balcony,3.56,1.78,6.34,True,True
4586,estimated,100.0,8.29,9.6,38.83,AH,AH,3.54,5.45,15.08,False,False
4586,estimated,100.0,8.29,9.6,38.83,PH,PH,2.82,1.98,5.01,False,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,1.8,5.4,7.46,False,False
4606,ok,99.999,13.39,10.88,126.39,PKH/KHH,PKH/KHH,3.66,4.0,13.96,False,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,2.67,2.02,5.39,True,False
4606,ok,99.999,13.39,10.88,126.39,MH,Bedroom,2.62,3.44,9.02,True,False
4606,ok,99.999,13.39,10.88,126.39,MH,Bedroom,1.98,3.44,6.83,True,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,2.02,1.77,3.58,True,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,2.02,1.44,2.91,True,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,1.21,1.32,1.59,True,False
4606,ok,99.999,13.39,10.88,126.39,VH,Walk-in closet,1.21,1.27,1.53,True,False
4606,ok,99.999,13.39,10.88,126.39,UNDEFINED,UNDEFINED,0.98,0.83,0.81,True,False
4606,ok,99.999,13.39,10.88,126.39,ALAPIHA,ALAPIHA,6.2,1.56,9.69,True,False
4606,ok,99.999,13.39,10.88,126.39,YLÄPIHA,YLÄPIHA,6.18,1.55,9.56,True,False
