plan_id,determination,applicable_section,clause,model,cost_usd,cached
4011,compliant_with_flags,3,,claude-sonnet-5,0.109263,False
4015,non_compliant,3,,claude-sonnet-5,0.164718,False
4017,non_compliant,3,,claude-sonnet-5,0.109428,False
4021,compliant_with_flags,3,,claude-sonnet-5,0.120486,False
4025,non_compliant,3,,claude-sonnet-5,0.113655,False
4026,non_compliant,3,,claude-sonnet-5,0.100959,False
4039,compliant_with_flags,3,,claude-sonnet-5,0.100509,False
4542,compliant_with_flags,3,,claude-sonnet-5,0.115971,False
4548,compliant_with_flags,3,,claude-sonnet-5,0.22668,False
4550,non_compliant,3,,claude-sonnet-5,0.145251,False
4586,excluded,,,,,False
4606,non_compliant,3,,claude-sonnet-5,0.212649,False
4607,non_compliant,3,,claude-sonnet-5,0.130539,False
4617,non_compliant,3,,claude-sonnet-5,0.117639,False
4623,compliant_with_flags,3,,claude-sonnet-5,0.123978,False
4633,non_compliant,3,,claude-sonnet-5,0.13719,False
4634,non_compliant,3,,claude-sonnet-5,0.128151,False
4643,non_compliant,3,,claude-sonnet-5,0.190356,False
4673,non_compliant,3,,claude-sonnet-5,0.125481,False
4674,compliant_with_flags,3,,claude-sonnet-5,0.154215,False
